年度	支部名	翌々年度保険料率	特定健診等	特定保健指導	対象者減少率	受診勧奨	後発医薬品	調整前所要保険料率	年齢調整	所得調整	精算分	インセンティブ分	県内総生産[100万円]	県民一人あたり県内総生産[千円/人]	県民人口[千人]
2	北海道	10.39	45	9.8	31.7	9.2	81.5	6.26	-0.31	-0.26	-0.03	0.007	19407652	3714.38315789474	5225
2	青森	10.03	55.8	17.6	31.4	9.2	82.1	6.37	-0.3	-0.81	0.04	0.003	4352988	3516.14539579968	1238
2	岩手	9.91	55.7	14.5	31.4	9	85	6.01	-0.32	-0.57	0.06	0.007	4609844	3806.64244426094	1211
2	宮城	10.18	58.5	22.9	31.6	11.6	83.1	5.91	-0.17	-0.32	0.07	-0.017	9220558	4005.45525629887	2302
2	秋田	10.27	55.9	24.4	33.2	9	81.7	6.99	-0.63	-0.8	0.02	-0.028	3408142	3550.14791666667	960
2	山形	9.99	73	22.7	33.3	10.8	83.3	6.1	-0.27	-0.5	0	-0.043	4213911	3945.6095505618	1068
2	福島	9.65	53.1	24.9	33.5	10.3	81.8	5.37	-0.16	-0.27	0.03	-0.023	7712033	4207.3284233497	1833
2	茨城	9.77	52.3	13.9	31.7	12	78.8	5.05	-0.04	0.04	-0.01	0.007	13475830	4700.32438088594	2867
2	栃木	9.9	53.4	23.5	32.4	10.5	79.5	5.29	-0.06	-0.05	0.04	-0.025	8862616	4584.90222452147	1933
2	群馬	9.73	51.2	10.6	31.7	9.3	80.3	5.15	-0.02	-0.08	-0.04	0.007	8683698	4478.44146467251	1939
2	埼玉	9.71	43	6.6	31.8	8.7	79.8	4.91	-0.02	0.14	-0.04	0.007	22752177	3097.64152484683	7345
2	千葉	9.76	40	12.6	31.4	9.7	80.1	5.02	-0.11	0.14	-0.01	0.007	19964230	3176.99395289624	6284
2	東京	9.81	47.2	7.7	32.4	9.2	78.4	4.31	0.13	0.67	-0.02	0.007	106440567	7576.91963268793	14048
2	神奈川	9.85	41.7	8.9	31.7	10.2	79	4.82	-0.06	0.41	-0.04	0.007	33640598	3641.93980729674	9237
2	新潟	9.51	65.2	17.5	33.1	11.1	81.5	5.28	-0.14	-0.31	0	-0.032	8680698	3943.97910040891	2201
2	富山	9.61	67.2	27.6	31.6	15.9	80.8	4.88	-0.09	0.13	0.02	-0.051	4645168	4488.08502415459	1035
2	石川	9.89	61.1	15.4	31	13.1	79.5	5.27	-0.03	0	-0.06	0.007	4488685	3961.76963812886	1133
2	福井	9.96	58.3	17	32.7	13.9	79.1	5.4	-0.12	-0.03	0	0.007	3527161	4598.64537157758	767
2	山梨	9.66	62.9	16.2	31.6	10.6	78.9	5.37	-0.14	-0.18	-0.09	-0.021	3526169	4353.2950617284	810
2	長野	9.67	58.8	18.7	32.3	9.9	81.2	5.26	-0.08	-0.24	0.03	-0.011	8245714	4026.2275390625	2048
2	岐阜	9.82	56.6	21.8	33.2	8.9	77.9	5.21	0.01	-0.08	-0.04	-0.003	7567526	3823.91409802931	1979
2	静岡	9.75	54.6	15.6	33.5	10.5	80.4	4.96	-0.05	0.1	0.03	-0.02	17197370	4733.65538122764	3633
2	愛知	9.93	49.7	11.2	31.8	9.8	78.3	4.71	0.2	0.27	0.02	0.007	39474654	5233.9769291965	7542
2	三重	9.91	57.7	14.4	32.4	9.6	78.3	5.08	0.03	0.03	0.05	0.007	8420511	4757.35084745763	1770
2	滋賀	9.83	57	19.8	33.9	10.9	80.3	5.2	0.07	-0.15	0.02	-0.023	6820482	4823.53748231966	1414
2	京都	9.95	55.9	11.3	33.7	8.9	76.1	5.18	0.07	0.02	-0.04	0.007	10194833	3954.55120248255	2578
2	大阪	10.22	42.8	11.7	32.9	10.2	76.4	5.18	0.18	0.15	-0.01	0.007	39077039	4421.47985969676	8838
2	兵庫	10.13	49.1	11.5	32.6	10.6	78.9	5.4	0.03	-0.01	-0.01	0.007	21622378	3956.51930466606	5465
2	奈良	9.96	50.1	17.8	35.1	11.2	74	5.79	-0.02	-0.44	-0.07	-0.012	3635980	2746.2084592145	1324
2	和歌山	10.18	49.8	13.7	34.8	11.4	74.8	5.96	-0.03	-0.48	0.03	0.003	3439721	3726.67497291441	923
2	鳥取	9.94	50	15.8	32.6	9.4	81.2	6.07	-0.15	-0.67	-0.01	0.007	1797039	3249.61844484629	553
2	島根	10.35	64.8	23.2	32.8	8.6	82.7	6.4	-0.29	-0.55	0.1	-0.016	2547779	3796.98807749627	671
2	岡山	10.25	56	28.8	31.6	8	78.2	5.61	0.07	-0.18	0.02	0.007	7323176	3878.80084745763	1888
2	広島	10.09	53.3	15.4	31.8	8.6	77.9	5.41	0.05	-0.12	0.03	0.007	11520787	4114.56678571429	2800
2	山口	10.15	53.4	17	33	8.4	81	5.78	-0.2	-0.1	-0.03	-0.011	5999049	4470.2302533532	1342
2	徳島	10.43	55.2	20.3	34.7	10	72.1	6.17	-0.11	-0.38	0.05	-0.023	3211217	4460.02361111111	720
2	香川	10.34	51.3	29.1	32.5	8.8	76.5	6	-0.07	-0.3	-0.02	0.007	3583178	3771.76631578947	950
2	愛媛	10.26	56.7	16.1	32.2	8.2	76.4	5.89	0.03	-0.46	0.07	0.007	4676714	3503.15655430712	1335
2	高知	10.3	60.8	14.2	29.3	9.2	74.9	6.11	-0.16	-0.38	0	0.007	2256637	3261.03612716763	692
2	福岡	10.21	50.1	14.3	32.9	12	80.5	5.79	0.05	-0.28	-0.07	0.007	18625144	3627.09717624148	5135
2	佐賀	11	49.3	17.9	33.4	9	82	7.13	-0.19	-0.74	0.07	0.007	3000406	3699.63748458693	811
2	長崎	10.47	54	21	33.1	9.1	81.6	6.62	-0.21	-0.74	0.09	-0.002	4448915	3390.94131097561	1312
2	熊本	10.45	57.9	29.1	32.8	11.2	81.7	6.39	-0.06	-0.63	0.08	-0.037	5952895	3425.14096662831	1738
2	大分	10.52	61	24.3	33.1	8.9	79.3	6.49	-0.21	-0.6	0.13	-0.009	4334191	3856.04181494662	1124
2	宮崎	10.14	52.2	14.6	34.3	8.9	82.3	6.17	-0.08	-0.76	0.1	0.002	3542960	3311.17757009346	1070
2	鹿児島	10.65	49.2	12.9	32.2	9.6	84.7	6.62	-0.03	-0.85	0.2	0.007	5440190	3425.81234256927	1588
2	沖縄	10.09	55.8	25.9	33.1	9.6	88.6	6.6	0.3	-1.56	0.06	-0.021	4080020	2781.1997273347	1467
3	北海道	10.29	47.3	11.6	34.5	9.7	82.3	6.28	-0.31	-0.26	-0.07	0.01	19875147	3834.68010804553	5183
3	青森	9.79	58.1	19.2	34.3	9.3	82.5	6.33	-0.31	-0.8	-0.07	0.01	4332445	3548.276003276	1221
3	岩手	9.77	61.1	17	33.3	10.6	85.3	6	-0.32	-0.57	0.01	0.01	4602901	3848.57943143813	1196
3	宮城	10.05	60.6	24.3	35	11.9	83.6	5.91	-0.17	-0.32	0.01	-0.012	9413811	4110.83449781659	2290
3	秋田	9.86	59.2	36.2	34.5	9	82.5	6.8	-0.64	-0.76	-0.14	-0.038	3499636	3703.31851851852	945
3	山形	9.98	75.1	27.3	34.7	10.5	84	6.15	-0.28	-0.48	-0.01	-0.043	4330149	4104.40663507109	1055
3	福島	9.53	57.4	26.4	35.1	10.9	82.5	5.42	-0.18	-0.27	-0.06	-0.019	7781201	4294.26103752759	1812
3	茨城	9.73	55.9	14.9	33	12.1	79.6	5.12	-0.04	0.03	-0.03	0.01	14402021	5049.79698457223	2852
3	栃木	9.96	58.3	23.9	34.9	11	80.4	5.4	-0.06	-0.05	0.04	-0.012	9199392	4788.85580426861	1921
3	群馬	9.76	54.2	12.4	33.6	9.4	81.2	5.21	-0.02	-0.08	0	0.01	9163999	4755.57810067462	1927
3	埼玉	9.82	48	9.4	34.4	8.9	80.5	5.03	-0.01	0.14	0.01	0.01	23676483	3225.67888283379	7340
3	千葉	9.87	44.8	14.5	34.8	9.2	80.7	5.16	-0.1	0.13	0.03	0.01	20422738	3254.61960159363	6275
3	東京	10	51.5	8.9	35.5	8.9	79.2	4.47	0.14	0.67	0.07	0.01	110446973	7883.43847251963	14010
3	神奈川	10.02	46.5	10.5	35.1	11.6	79.7	5	-0.06	0.39	0.03	0.01	34649908	3751.61411866609	9236
3	新潟	9.33	67.5	21.9	34.9	11.5	81.9	5.24	-0.14	-0.3	-0.1	-0.009	8869264	4074.07625172255	2177
