年度	支部名	翌々年度保険料率	調整前所要保険料率	年齢調整	所得調整	精算分	特定健診等	特定保健指導	対象者減少率	受診勧奨	後発医薬品
2	北海道	10.39	6.26	-0.31	-0.26	-0.03	45	9.8	31.7	9.2	81.5
2	青森	10.03	6.37	-0.3	-0.81	0.04	55.8	17.6	31.4	9.2	82.1
2	岩手	9.91	6.01	-0.32	-0.57	0.06	55.7	14.5	31.4	9	85
2	宮城	10.18	5.91	-0.17	-0.32	0.07	58.5	22.9	31.6	11.6	83.1
2	秋田	10.27	6.99	-0.63	-0.8	0.02	55.9	24.4	33.2	9	81.7
2	山形	9.99	6.1	-0.27	-0.5	0	73	22.7	33.3	10.8	83.3
2	福島	9.65	5.37	-0.16	-0.27	0.03	53.1	24.9	33.5	10.3	81.8
2	茨城	9.77	5.05	-0.04	0.04	-0.01	52.3	13.9	31.7	12	78.8
2	栃木	9.9	5.29	-0.06	-0.05	0.04	53.4	23.5	32.4	10.5	79.5
2	群馬	9.73	5.15	-0.02	-0.08	-0.04	51.2	10.6	31.7	9.3	80.3
2	埼玉	9.71	4.91	-0.02	0.14	-0.04	43	6.6	31.8	8.7	79.8
2	千葉	9.76	5.02	-0.11	0.14	-0.01	40	12.6	31.4	9.7	80.1
2	東京	9.81	4.31	0.13	0.67	-0.02	47.2	7.7	32.4	9.2	78.4
2	神奈川	9.85	4.82	-0.06	0.41	-0.04	41.7	8.9	31.7	10.2	79
2	新潟	9.51	5.28	-0.14	-0.31	0	65.2	17.5	33.1	11.1	81.5
2	富山	9.61	4.88	-0.09	0.13	0.02	67.2	27.6	31.6	15.9	80.8
2	石川	9.89	5.27	-0.03	0	-0.06	61.1	15.4	31	13.1	79.5
2	福井	9.96	5.4	-0.12	-0.03	0	58.3	17	32.7	13.9	79.1
2	山梨	9.66	5.37	-0.14	-0.18	-0.09	62.9	16.2	31.6	10.6	78.9
2	長野	9.67	5.26	-0.08	-0.24	0.03	58.8	18.7	32.3	9.9	81.2
