年度	支部名	インセンティブ分	特定健診等	特定健診等対前年度上昇幅	特定健診等対前年度上昇率	特定保健指導	特定保健指導対前年度上昇幅	特定保健指導対前年度上昇率	対象者減少率	受診勧奨	受診勧奨対前年度上昇幅	後発医薬品	後発医薬品対前年度上昇幅
8	北海道	0.01	56.1	2.6	1.04859813084112	16	2.5	1.18518518518519	32.2	33.3	0.699999999999996	87.9	3.5
8	青森	0.01	63.2	1.8	1.02931596091205	29.2	0.800000000000001	1.02816901408451	31.6	32.9	-1.3	88.4	3.60000000000001
8	岩手	0	65.7	2	1.03139717425432	21.8	-0.399999999999999	0.981981981981982	33.2	32.8	1.4	90.2	3.10000000000001
8	宮城	0.01	65.8	1.7	1.02652106084243	26.6	2.2	1.09016393442623	32.2	33.9	0.5	89.4	3.40000000000001
8	秋田	-0.03	64.3	1.4	1.02225755166932	32.8	0.5	1.01547987616099	34	36	-1.9	88.6	3.5
8	山形	-0.04	79.2	1.3	1.01668806161746	30.6	1.5	1.05154639175258	33	35.8	-1.6	90.2	3.10000000000001
8	福島	-0.01	62.8	3	1.05016722408027	25.8	-2.1	0.924731182795699	33.5	32.2	0.900000000000002	88.7	3.90000000000001
8	茨城	0.01	58.4	2.7	1.04847396768402	16.7	-0.5	0.97093023255814	32.4	32.2	0	86.8	4.09999999999999
8	栃木	0.01	63.8	2.09999999999999	1.03403565640194	25.9	-1.7	0.938405797101449	33.6	36	1.4	86.4	3.30000000000001
8	群馬	0.01	57.4	1.9	1.03423423423423	14.5	0	1	32.9	31.8	-0.800000000000001	87.3	3.5
8	埼玉	0.01	51	2.9	1.06029106029106	10.5	0.800000000000001	1.08247422680412	33.1	31.9	1.4	87.2	3.7
8	千葉	0.01	51.6	3.9	1.08176100628931	17.2	1.2	1.075	32.9	32.4	0.199999999999996	87	3.59999999999999
8	東京	0.01	54.6	0.800000000000004	1.01486988847584	14.2	2.6	1.22413793103448	34	33.3	1.3	86.1	3.8
8	神奈川	0.01	51.8	3.59999999999999	1.0746887966805	13.8	0.300000000000001	1.02222222222222	32.8	32.9	1	86.5	3.90000000000001
8	新潟	-0.21	72.1	1.69999999999999	1.02414772727273	28.4	4.2	1.17355371900826	35.5	38.7	2.6	88.6	3.8
8	富山	0.01	73.7	1.40000000000001	1.01936376210235	28.4	-4.8	0.855421686746988	33	38.4	-0.100000000000001	87.5	3.7
8	石川	-0.04	69.1	2.09999999999999	1.03134328358209	27.4	-0.100000000000001	0.996363636363636	33.6	33.8	1	87.1	4.19999999999999
8	福井	0.01	69.9	2.30000000000001	1.03402366863905	22.7	-1.6	0.934156378600823	32.8	32.8	-0.800000000000004	86.2	4.40000000000001
8	山梨	-0.01	70.2	1.2	1.01739130434783	27.2	4.7	1.20888888888889	32.7	34.7	1.3	86.7	4.10000000000001
8	長野	0.01	65.9	1.40000000000001	1.02170542635659	25.3	-5.9	0.810897435897436	33.4	35.3	-0.900000000000006	87.9	3.30000000000001
8	岐阜	-0.05	65.9	0.400000000000006	1.00610687022901	26.4	1.8	1.07317073170732	34.2	35.3	-0.900000000000006	87.3	4.59999999999999
8	静岡	-0.03	62.8	3.09999999999999	1.05192629815745	18.8	1.1	1.06214689265537	34.3	35	0.399999999999999	87.5	3.7
8	愛知	0.01	57.7	0.700000000000003	1.01228070175439	17.2	0.399999999999999	1.02380952380952	32.9	31.7	0.599999999999998	86.8	4.2
8	三重	0.01	65.7	1.10000000000001	1.01702786377709	19.2	1.1	1.06077348066298	33.4	34.3	-0.5	85.9	3.80000000000001
8	滋賀	0.01	65	2.4	1.03833865814697	16.7	-2.8	0.856410256410256	33.6	31.6	-0.699999999999996	87.6	4
8	京都	0.01	64.1	1.3	1.02070063694268	17.9	0.0999999999999979	1.00561797752809	33.6	31.3	0.800000000000001	84.9	4.60000000000001
8	大阪	0.01	51.5	1.3	1.02589641434263	13.1	-0.700000000000001	0.949275362318841	33.7	32.7	1.1	85	4.3
8	兵庫	0.01	57.9	1.1	1.0193661971831	15.4	-0.0999999999999996	0.993548387096774	33.6	33.3	0.5	86.5	4.09999999999999
8	奈良	-0.02	59	2.7	1.04795737122558	20.4	-0.400000000000002	0.980769230769231	35.1	36.9	-0.200000000000003	83.5	4.5
8	和歌山	-0.01	61.5	4	1.0695652173913	16.7	-1.2	0.932960893854749	34.3	34.7	2	84.3	4.5
8	鳥取	0.01	61.6	3.6	1.06206896551724	25.5	1.9	1.08050847457627	32.4	32	1	87.7	3.10000000000001
8	島根	-0.13	72.4	0.900000000000006	1.01258741258741	39.5	13.9	1.54296875	33.5	34.5	-1.3	89.7	3.40000000000001
8	岡山	0.01	66.2	1.2	1.01846153846154	34.8	-0.800000000000004	0.97752808988764	32.2	38.9	0.600000000000001	85.9	4.10000000000001
8	広島	0.01	60.8	1.5	1.02529510961214	22.2	0.800000000000001	1.03738317757009	33.4	35.3	-1.40000000000001	86.1	4.3
8	山口	0.01	60.8	3.7	1.06479859894921	19	-1.2	0.940594059405941	32.4	33.3	-0.400000000000006	88.2	3.60000000000001
8	徳島	0	56.6	-0.399999999999999	0.992982456140351	29	1.8	1.06617647058824	35.3	31.7	0.599999999999998	82.3	5.3
8	香川	0.01	57.9	2.9	1.05272727272727	34.5	0.399999999999999	1.01173020527859	33.2	34	1.5	84.9	4.30000000000001
8	愛媛	0.01	63.2	0.200000000000003	1.0031746031746	20.1	0.900000000000002	1.046875	32.7	34.1	0.399999999999999	85	4
8	高知	0.01	69.1	1.09999999999999	1.01617647058824	17.9	0.799999999999997	1.04678362573099	31.1	34.9	5	83.8	4.7
8	福岡	0.01	58.9	1	1.01727115716753	22.8	1.3	1.06046511627907	33.1	34.5	1.2	87.5	3.59999999999999
8	佐賀	0	59.3	0.399999999999999	1.00679117147708	24.6	-0.199999999999999	0.991935483870968	33.3	36.9	2.1	88.7	3.60000000000001
8	長崎	0.01	58.8	-0.5	0.991568296795953	23.5	-2.1	0.91796875	33.4	36.5	2.7	88.1	3.39999999999999
8	熊本	0.01	63.9	-0.199999999999996	0.996879875195008	37.3	-1	0.973890339425587	32.6	37.9	-1	88.4	3.30000000000001
8	大分	0.01	64.8	-1.8	0.972972972972973	34.9	4.1	1.13311688311688	33.2	38	0.5	86.8	4
8	宮崎	0.01	60.3	0.199999999999996	1.00332778702163	20	-0.699999999999999	0.966183574879227	34.2	33.6	-0.5	89.3	3.39999999999999
8	鹿児島	0.01	54.1	2.5	1.0484496124031	18.3	-3.2	0.851162790697674	33.6	37.8	-1.2	90.2	2.7
8	沖縄	-0.03	59.8	-0.400000000000006	0.993355481727575	31.4	2.6	1.09027777777778	33.2	36	2.1	92.4	2.30000000000001
